timestamp,open,high,low,close,volume,bid_volume,ask_volume,delta
1764174780000,87690.4,87777.0,87636.0,87776.9,361.227,"[55.68900000000005, 66.17600000000007, 17.741999999999987, 56.84400000000013, 29.26599999999998]","[27.527999999999963, 17.276000000000007, 28.066000000000017, 41.29600000000008, 21.10100000000002]",-90.45000000000016
1764174960000,87776.9,87939.3,87763.3,87827.0,1081.958,"[99.3780000000002, 85.34499999999991, 31.063, 60.45000000000014, 5.101000000000001]","[127.17699999999965, 130.57899999999904, 89.82999999999996, 228.82099999999954, 152.60499999999988]",447.67499999999785
1764175140000,87826.9,87827.0,87654.2,87673.9,379.191,"[89.14500000000008, 41.734000000000144, 56.817000000000085, 47.53200000000003, 15.742000000000033]","[59.76600000000015, 6.987999999999993, 14.013000000000027, 29.07399999999998, 1.6829999999999994]",-139.44600000000023
1764175320000,87673.9,87727.2,87454.1,87579.1,727.644,"[168.11499999999984, 187.60399999999998, 145.81399999999994, 77.0370000000001, 23.264999999999922]","[0, 34.92799999999997, 18.411999999999995, 34.824999999999974, 23.847999999999992]",-489.8219999999999
1764175500000,87579.2,87697.6,87561.1,87602.4,387.533,"[50.57200000000004, 73.77100000000006, 26.442000000000036, 12.817000000000041, 8.259999999999994]","[49.90100000000019, 94.39299999999992, 34.92800000000003, 21.986999999999977, 13.765999999999998]",43.112999999999914
1764175680000,87602.3,87650.8,87586.6,87590.9,416.046,"[7.8449999999999935, 85.70599999999995, 36.797, 53.27200000000012, 63.01100000000004]","[23.411000000000005, 22.26599999999999, 31.15799999999994, 49.535000000000046, 33.781000000000006]",-86.4800000000001
1764175860000,87591.0,87591.1,87455.0,87455.0,447.239,"[35.57100000000003, 56.5020000000001, 45.83500000000003, 70.225, 57.11100000000008]","[17.37600000000002, 20.453000000000046, 10.666, 62.266000000000105, 65.27500000000019]",-89.20799999999991
1764176040000,87455.0,87796.2,87455.0,87796.1,401.448,"[43.412000000000084, 18.238999999999983, 38.40500000000003, 2.042, 49.91200000000008]","[81.17299999999997, 31.029999999999983, 57.33700000000028, 20.00999999999998, 59.1550000000001]",96.69500000000016
1764176220000,87796.1,87816.0,87771.0,87778.9,205.479,"[15.225000000000016, 22.404999999999973, 31.229999999999976, 25.72799999999999, 9.823000000000002]","[37.34500000000002, 17.900000000000006, 15.563000000000013, 21.20399999999998, 9.201999999999998]",-3.196999999999946
1764176400000,87778.9,87874.6,87778.9,87811.8,375.261,"[11.330000000000005, 19.40600000000007, 26.311, 101.5469999999999, 19.65200000000001]","[10.156999999999996, 77.5029999999997, 12.385000000000003, 72.6610000000002, 24.085999999999952]",18.54599999999988
1764176580000,87811.8,87850.0,87703.3,87850.0,246.273,"[32.640000000000015, 53.367000000000054, 46.02700000000013, 9.906, 18.513]","[10.611000000000022, 21.56299999999997, 18.253999999999994, 15.137000000000018, 20.193000000000023]",-74.69500000000018
1764176760000,87850.0,87892.4,87783.4,87792.7,228.543,"[18.208000000000013, 20.37400000000002, 27.308000000000003, 23.95800000000001, 34.677000000000014]","[11.953999999999994, 11.861000000000002, 16.158000000000023, 31.274999999999945, 32.27099999999994]",-21.00600000000017
1764176940000,87792.6,87874.8,87778.5,87855.8,187.649,"[10.957999999999995, 18.162000000000013, 8.251999999999994, 30.970000000000006, 23.82100000000001]","[14.427000000000017, 14.87500000000001, 15.870000000000008, 21.63300000000001, 28.678999999999967]",3.3209999999999837
1764177120000,87855.7,87948.0,87813.0,87813.0,285.304,"[18.993000000000013, 31.756999999999987, 61.03500000000009, 11.929000000000018, 37.711000000000084]","[1.9129999999999996, 13.06700000000001, 24.075999999999997, 32.504000000000005, 52.31000000000003]",-37.555000000000135
1764177300000,87813.0,87854.5,87748.6,87814.2,370.594,"[53.25500000000007, 47.2320000000001, 41.28400000000001, 18.771999999999984, 6.679999999999988]","[24.601999999999943, 52.41900000000016, 97.22899999999977, 21.530000000000015, 7.5889999999999915]",36.14599999999976
1764177480000,87814.2,87823.5,87663.4,87719.9,384.279,"[63.52600000000009, 84.46400000000004, 11.547999999999996, 26.245999999999963, 128.08899999999988]","[18.382000000000016, 38.596000000000004, 1.4809999999999994, 10.06900000000001, 1.8619999999999977]",-243.4829999999999
1764177660000,87720.0,87819.5,87711.7,87817.1,195.688,"[17.416000000000018, 32.35299999999997, 17.677000000000028, 22.02699999999998, 1.5330000000000001]","[38.51999999999999, 21.746999999999986, 16.74700000000002, 20.818000000000026, 6.740999999999998]",13.567000000000007
1764177840000,87817.1,88440.5,87804.0,88420.7,2422.629,"[24.136, 135.41399999999925, 213.58499999999796, 64.84400000000002, 383.28399999999687]","[78.77400000000009, 325.34499999999895, 495.93399999999684, 183.07999999999964, 484.33899999999767]",746.2089999999992
